# evals,min,q25,med,q75,max,ave
1700.0,1.0499510424695484,1.0710269243002386,1.0872428273156949,1.100684808587264,1.1437021411725297,1.087514604433277
1750.0,1.0493923377216356,1.0653139731202819,1.0776016620930484,1.093961465320359,1.1392545278680684,1.0794143924816944
1800.0,1.041813441066901,1.054269885317457,1.0680392687118987,1.0851489493644464,1.126786847296558,1.0708112835550965
1850.0,1.0335111357962412,1.0526513677244909,1.057861771899553,1.0764177779775272,1.1081097095560624,1.0635485492524974
1900.0,1.0335111357962412,1.0422612858299032,1.0514013990390745,1.0670824795791922,1.0824228386217971,1.0544770932744634
1950.0,1.01250533136381,1.0363548886320033,1.0445044389542015,1.056225369318119,1.072968984862665,1.0461448321189475
2000.0,1.0123805621049664,1.0300434200133375,1.0373399124173632,1.0473358545051874,1.0654466733421795,1.0385759423308176
2050.0,0.99601250460841,1.025840631794478,1.0335580183465405,1.0422168011990383,1.0576019223420468,1.0334970497828466
2100.0,0.9584041220510896,1.020944320631036,1.029571029275084,1.037345816885225,1.0562150898245424,1.0277828790446666
2150.0,0.9584041220510896,1.0140054588845848,1.024849926696835,1.0305234179357983,1.047702052478756,1.0211371871703523
2200.0,0.9584041220510896,1.0072299878631088,1.01957214894801,1.0274556418469527,1.0425161407518917,1.0147115241979061
2250.0,0.9584041220510896,1.0009000467742126,1.0158590222771888,1.0225210157200233,1.0375117583156517,1.0079211034538613
2300.0,0.9558593535545248,0.9949666034059387,1.0096512669431754,1.0180167778522538,1.0375117583156517,1.0025035780991063
2350.0,0.8926325880396602,0.9772085286746173,0.9965285194628959,1.0125617433070677,1.02485678514752,0.9893654947853572
2400.0,0.8926325880396602,0.9620336529914417,0.9893254236293654,0.9986578329040481,1.019283688328655,0.9801725822196095
2450.0,0.8794059048197704,0.9492068586530421,0.9717533359234105,0.990596937761403,1.0151915244954333,0.9652943400931419
2500.0,0.8658629785660088,0.9233161775706816,0.9599932424671888,0.9851504216788851,1.0085055168411488,0.9505391625135804
2550.0,0.8196035862089572,0.8923222091423084,0.9456952081004875,0.9633804856436785,0.9906913987820257,0.9275523190662046
2600.0,0.7901339244293086,0.8679154639024154,0.9143297531995982,0.9540096731749272,0.9756520539604341,0.9043392657434415
2650.0,0.6664843005326039,0.8378991191827048,0.8855118919848213,0.9460005349521942,0.9666531221297489,0.884940567275368
2700.0,0.5937038679104241,0.8107746313208347,0.874386317179838,0.9353473344938625,0.9666531221297489,0.8606455779910107
2750.0,0.5937038679104241,0.8060717036153193,0.8707602754783805,0.9100534254394084,0.9637276287605245,0.8434047292937153
2800.0,0.5933439675456422,0.736349304441195,0.8232644798714294,0.8817264101545564,0.9583202192110906,0.8002944126670145
2850.0,0.5427281110398507,0.6805433321591553,0.7901269724799016,0.848359496050643,0.9151541269978049,0.7650382118251866
2900.0,0.5427281110398507,0.6500143677944324,0.7873292909657268,0.8374862582844171,0.9097497380010536,0.7522443363712095
2950.0,0.5427281110398507,0.6284899270665466,0.7418481172166906,0.8281750298816073,0.8769523020339944,0.7229388520574284
3000.0,0.5063140146128742,0.6151670375278184,0.6984383931959194,0.7715219472909198,0.8722062074213518,0.6902732171946785
3050.0,0.422994295033872,0.5607951533611927,0.6656457690511373,0.7376492382955775,0.8652210222172507,0.6558656056519591
3100.0,0.4101292717710861,0.5138718571336532,0.5911487432978246,0.7170169799876661,0.8652210222172507,0.606933075115696
3150.0,0.3469539536507952,0.4519602197128541,0.5387615696935697,0.673044402194873,0.8398764711716323,0.5675565326931498
3200.0,0.3089016005844269,0.4434189450865195,0.5301208278242433,0.649154162554784,0.8398764711716323,0.5433109969537451
3250.0,0.3089016005844269,0.40879748764168256,0.47965900648986115,0.5820281260193709,0.7596803523509018,0.501844977204417
3300.0,0.2968595469030525,0.3846728616664758,0.4472574512111186,0.5462687938209118,0.7359309733057059,0.4729769085478394
3350.0,0.2377302087127109,0.34974239208563784,0.43784832070569446,0.5153010786916249,0.7359309733057059,0.43843816077901604
3400.0,0.20948857315530675,0.30681268403663825,0.3897796115921689,0.5037986231360306,0.702195964254174,0.406756735666275
3450.0,0.2076248855081785,0.2785134606674755,0.3591099059206344,0.46056038268040933,0.7006194624256636,0.3757703805960361
3500.0,0.19282126550226128,0.2487990838475511,0.31672392623951345,0.38401795628744895,0.7006194624256636,0.3523207247037402
3550.0,0.16162654582460131,0.2456717003781796,0.31672392623951345,0.3814776413944915,0.645821460875495,0.33844466128823947
3600.0,0.113217417258502,0.21522063073548664,0.2953146455604275,0.36613588749891224,0.6365825649327842,0.31810548171409553
3650.0,0.10264881156528444,0.20404264610530776,0.2882489196853609,0.34124614562289696,0.5342478529406717,0.28894303056957615
3700.0,0.10264881156528444,0.18691869567803407,0.24291724151486072,0.315975592795927,0.5342478529406717,0.2687328082582481
3750.0,0.08905270752543826,0.1824274089920716,0.2373036252340825,0.315975592795927,0.5342478529406717,0.2548728351932391
3800.0,0.0769895047013263,0.1504072109880618,0.2044165638770935,0.2889805077593121,0.5173869858407352,0.2339795024083833
3850.0,0.0769895047013263,0.1492273434485852,0.19588672178492111,0.28598598260840874,0.5173869858407352,0.22450333101974584
3900.0,0.0769895047013263,0.11565765843723583,0.1514516095596814,0.263115010117074,0.5072916142130393,0.20183265535191536
3950.0,0.0603104547153592,0.11565765843723583,0.14549923548775232,0.24563414763664196,0.5072916142130393,0.19000572998388301
4000.0,0.04474918486662588,0.10632072089191434,0.13987144561788528,0.24415959141711518,0.5072916142130393,0.182123928655479
4050.0,0.04474918486662588,0.09433143545688936,0.1356881152363404,0.2006277501984247,0.5072916142130393,0.17259251515542975
4100.0,0.04198674379224121,0.08477993305919179,0.1148805445339483,0.19565215165346259,0.497837229622713,0.15975710472253357
4150.0,0.03727498202410773,0.07570474383302697,0.101814467103906,0.1951357448311451,0.471749306748406,0.15222781978600317
4200.0,0.03640748968774136,0.06593813679457972,0.09384910616644165,0.16687226296287422,0.4573329336940764,0.13930128492765678
4250.0,0.03225879054008044,0.056890827791907184,0.08821098644038396,0.1421722898629445,0.3650967882027988,0.12399264481457029
4300.0,0.02321827434035278,0.04379711167190064,0.07542431907896918,0.13096909589940214,0.3650967882027988,0.11592076720157224
4350.0,0.022573109385647543,0.04005125759837281,0.06678555740377619,0.11535050231042361,0.3650967882027988,0.11009338349067671
4400.0,0.019182632392099237,0.039963310157526466,0.06336762596725246,0.10041253476470356,0.3650967882027988,0.09717723029273737
